chapter,bing,n,total,weight,percent
31,positive,31,865,0.4171063989228937,0.035838150289017344
32,negative,118,5193,0.6176394374462938,0.022722896206431736
32,positive,162,5193,0.6176394374462938,0.03119584055459272
33,negative,23,978,0.4265943954088207,0.023517382413087935
33,positive,33,978,0.4265943954088207,0.03374233128834356
34,negative,68,2232,0.5035774825053968,0.03046594982078853
34,positive,70,2232,0.5035774825053968,0.03136200716845878
35,negative,79,2617,0.5217349028537261,0.030187237294612153
35,positive,81,2617,0.5217349028537261,0.030951471150171952
36,negative,119,2830,0.5311522143006103,0.04204946996466431
36,positive,71,2830,0.5311522143006103,0.02508833922261484
37,negative,24,516,0.38141207792556897,0.046511627906976744
37,positive,20,516,0.38141207792556897,0.03875968992248062
38,negative,25,398,0.36568381430128133,0.06281407035175879
38,positive,10,398,0.36568381430128133,0.02512562814070352
39,negative,6,272,0.3448374538035366,0.022058823529411766
39,positive,11,272,0.3448374538035366,0.04044117647058824
4,negative,64,1670,0.47353654092342773,0.03832335329341317
4,positive,44,1670,0.47353654092342773,0.026347305389221556
40,negative,51,1585,0.46850330664826567,0.032176656151419555
40,positive,46,1585,0.46850330664826567,0.029022082018927444
41,negative,208,3797,0.5697858551112712,0.05478008954437714
41,positive,101,3797,0.5697858551112712,0.026599947326836976
42,negative,143,3653,0.5643862412753364,0.03914590747330961
42,positive,109,3653,0.5643862412753364,0.029838488913222008
43,negative,8,313,0.35224395112897394,0.025559105431309903
43,positive,8,313,0.35224395112897394,0.025559105431309903
44,negative,57,2058,0.4947946246056324,0.027696793002915453
44,positive,32,2058,0.4947946246056324,0.015549076773566569
45,negative,129,3560,0.5608411965740641,0.036235955056179776
45,positive,87,3560,0.5608411965740641,0.02443820224719101
46,negative,37,999,0.42828011885355816,0.037037037037037035
46,positive,35,999,0.42828011885355816,0.035035035035035036
47,negative,33,936,0.4231532406678507,0.035256410256410256
47,positive,22,936,0.4231532406678507,0.023504273504273504
48,negative,138,3988,0.5767908242394667,0.03460381143430291
48,positive,134,3988,0.5767908242394667,0.033600802407221665
49,negative,29,839,0.414813150310445,0.03456495828367104
49,positive,31,839,0.414813150310445,0.03694874851013111
5,negative,12,750,0.40659916023251147,0.016
5,positive,30,750,0.40659916023251147,0.04
50,negative,24,1019,0.42986500242487924,0.023552502453385672
50,positive,23,1019,0.42986500242487924,0.022571148184494603
51,negative,56,1527,0.4649763789525396,0.0366732154551408
51,positive,39,1527,0.4649763789525396,0.025540275049115914
52,negative,23,728,0.4044727338151276,0.03159340659340659
52,positive,21,728,0.4044727338151276,0.028846153846153848
53,negative,32,1646,0.4721310286220708,0.019441069258809233
53,positive,45,1646,0.4721310286220708,0.027339003645200487
54,negative,307,8036,0.6995717261827751,0.038203086112493775
54,positive,214,8036,0.6995717261827751,0.026630164260826282
55,negative,35,1908,0.48687683153879385,0.018343815513626835
55,positive,72,1908,0.48687683153879385,0.03773584905660377
56,negative,33,1323,0.45189037761619716,0.024943310657596373
56,positive,60,1323,0.45189037761619716,0.045351473922902494
57,negative,39,973,0.42618968341896485,0.040082219938335044
57,positive,34,973,0.42618968341896485,0.03494347379239465
